Su ?çeri?i (%),#10 Kalan (%),#200 Geçen (%),LL  (%),PL (%),CU
36.2,8.9,71.8,52.5,21.1,18.61422152
30.7,11.8,72.4,54.8,19.3,38.81351455
31.7,6.6,84.8,55.8,18.3,32.85932376
38.8,0,89.8,51.4,18.9,10.17033441
36.2,0,93.2,54.8,19.9,19.83795707
13.3,3.8,55.2,43.2,20.3,693.5103627
17.4,4.2,81.7,45.8,20.8,317.7718181
10.2,3.1,77.2,49.6,21.6,1105.951572
14,16.7,59.2,47.5,20.3,493.30574
14.9,0,52.6,46.6,21.5,569.7711435
36.9,6.4,97.1,54.7,21.3,19.83639157
23.8,8.1,62,51.8,18.6,82.71419336
33.8,0,63.2,52.8,18,21.06281651
39.2,0,96.3,55.6,20.3,14.48573369
39.9,0,91.1,54.1,21.3,12.52256624
31.9,0,95,55.8,20.9,39.88865832
14.2,12.2,51.7,48.2,20,437.8163947
26.2,3.7,66.4,55.1,21.3,87.26973067
17.8,1.4,68.2,54.5,19.3,206.8100708
23.3,6,67.3,54.2,20.3,113.1552759
19.4,1.6,73.5,58.9,19.6,174.0261681
20,6.7,74.2,48.5,20.2,175.6167213
31,0,95.2,51,21.5,38.65190639
32.1,0,89.3,46.6,20,20.97925708
35.4,0,97.5,48,20.3,13.85265909
41.1,0,94.5,57.4,21.5,13.79958086
15.5,0,40.5,43.3,22.2,732.3880499
32.6,0,96.9,56.6,21.5,39.69592001
49.6,0,92,58,20,4.725682805
41.9,0,92.6,61.6,21.5,16.37722169
48.7,0,93.5,66.6,20.5,10.19816018
35.3,0,86.1,54.7,19.3,21.261926
36.9,0,96.9,52.2,18.3,13.62854268
45.1,0,94,54.7,18.3,5.750785243
9.3,0,48.1,42.5,19.6,1345.578819
8.3,3.7,58.3,54,21.3,1058.23214
7.9,0,59.2,52.8,19.6,859.812802
7.4,4.9,97.7,48.8,20.3,1363.33314
40.3,0,96.2,48.6,20.3,6.588015139
36.5,14.5,59.7,42.8,18.6,5.661403795
36.8,7,80.7,55.8,17.6,16.84402972
39.8,2.47,90.2,52.5,19.3,9.931698314
38.9,7.7,67.9,52.4,18.3,10.56134812
32,0,97.1,52.4,19.6,29.87297891
35.7,0,88.6,48,20,12.89423296
37.9,0,96.4,47.5,22.3,9.859886355
23.8,0,92.5,52.1,19.9,97.38900769
24.5,0,89.2,57.8,24.6,172.3715674
24.8,8.1,82.9,52.6,19,76.84828459
35.7,2.2,71.7,47,19.6,11.39482129
26.7,6.7,79.3,47.5,20.3,57.60202474
26.7,8,69.1,54.8,19.6,67.22557332
13.3,4.8,87.9,52.8,19.6,406.9130386
42,0,57.4,45.5,22.2,3.411632326
18.7,0,98.1,58.9,20.3,205.7068799
26.2,0,97.6,55.5,18.3,64.0086355
27.5,6.6,83,55.8,20,64.85870959
31.7,7.9,77.2,57.4,20.3,41.36635641
36.7,3,85.7,52,18.3,13.79748249
38.5,2.3,88.8,54,20.9,14.73359986
12,0,64.8,55.8,18.2,362.9374225
12.5,4,64.2,46.6,21.5,884.506454
11.6,2.4,62.8,57.7,21.6,607.8356578
12.2,3.3,76.2,56.9,19.3,405.1775623
12.8,2.4,76,42.8,20.9,931.6823168
19.7,7,36.3,42.8,19.6,166.6628495
18.9,10.3,44.9,42.6,20.3,226.9109686
17.8,7.5,34.6,40.6,21.6,426.538677
22.8,4.9,39.7,39.6,20.4,95.66553096
46.2,0,89.9,62.3,20,9.844582212
25.8,0,59.6,68.6,21.5,111.7075665
29.7,9.9,76.6,65.3,20.3,65.04043655
20.2,0,62.6,64.7,19.6,159.9094061
30.5,15.3,79.7,54.5,20.3,43.12103202
14.9,23.8,50.5,54,21.3,418.221376
30.4,5.4,85.7,54.7,19.6,41.28753237
23.2,0,66.1,45.3,21.5,122.3959249
13.6,12.1,70.2,42.8,19.9,602.5492518
23.9,2.5,42.8,40.3,22.3,112.9507568
28.7,0,94.1,46.9,20,38.40625548
28.2,0,87.3,47.5,19.6,41.18294878
26.3,0,78.8,42.5,19.3,42.43660474
21.9,0,87.5,57.4,20.3,139.4123735
31.9,0,97.6,52.8,19.3,30.13925794
3.3,6,79,42.5,21.5,9154.966053
30.2,0,97.9,57.9,20.8,53.00682234
34.6,0,97.1,58,23.6,39.05694529
